sensor_1R,sensor_2R,sensor_3R,sensor_4R,sensor_5R,sensor_1L,sensor_3L,sensor_4L,sensor_5L,acel1,giro1,acel2,giro2,gesto
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,-0.98,-9.57,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23,-0.26,-9.76,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56,0.81,-9.31,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,0.58,-8.73,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64,-0.12,-8.47,-0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76,-1.45,-8.42,0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63,-2.36,-8.76,0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,-1.93,-9.48,0.21,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,-1.49,-9.9,0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,-1.68,-8.93,0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,-1.67,-7.61,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,-1.69,-7.58,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,-1.62,-8.64,0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,-1.39,-9.74,0.31,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,-0.92,-10.01,0.24,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,-0.3,-9.9,0.08,Oi
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,-0.46,-9.44,-0.12,Oi
